ZINC SMILES,Generated IUPAC,OPSIN SMILES,OPSIN Errors
C[C@@H]1COC[C@@H](C(=O)O)N1C[C@H]1C[C@H](F)C1,"N-ethyl-N-[(2R)-1-(3,4-dimethylpent-3-enoyl)azetidin-2-yl]-(2R)-2-methoxybutanamide",C(C)N(C([C@@H](CC)OC)=O)[C@H]1N(CC1)C(CC(=C(C)C)C)=O,""
C[C@@H](N)[C@@H]1C[C@H]1C(=O)N1CCC[C@@H](C)[C@H]1CCO,"(2-fluoro-3-methylphenyl)sulfonyl-N'-[(R)-(6-methyl-4,5,6,7-tetrahydrobenzo[b]thiophen-2-yl)carbonyl]hydrazide","","(2-fluoro-3-methylphenyl)sulfonyl-N'-[(R)-(6-methyl-4,5,6,7-tetrahydrobenzo[b]thiophen-2-yl)carbonyl]hydrazide could be parsed but OPSIN was unsure of the meaning of the words. This error will occur, by default, if a name is just a substituent "
N[C@@H]1CCCC[C@H]1C(=O)N1CC[C@]12C[C@@H](CO)C2,"1-{[(2R,6R)-6-methylpiperidin-2-yl]methyl}piperidine-4-carboxylic acid",C[C@@H]1CCC[C@@H](N1)CN1CCC(CC1)C(=O)O,""
CO[C@@H]1CCN(CC[C@](C)(NC2CC2)C(N)=O)[C@@H](C)C1,"N-((1R,4R)-2-oxabicyclo[2.2.1]heptan-1-yl)-N'-(1R,4R)-2-azabicyclo[2.2.2]oct-4-ylurea","","Could not find atom that: <stereoChemistry locant=""1"" type=""RorS"" value=""R"" stereoGroup=""Abs"">1R</stereoChemistry> appeared to be referring to "
CN1CCC[C@H](CO[C@]23CNCC[C@H]2C3)C1=O,"tert-butyl (3S)-3-[(1R,2R)-1-hydroxy-2,3-dimethylbutyl]-6-methylmorpholin-4-ylcarbamate",O[C@H]([C@@H](C(C)C)C)[C@H]1N(CC(OC1)C)NC(OC(C)(C)C)=O,""
CCc1cc(N(CC)C(C)C)n2ncnc2n1,"N-((1R)-1-methyl-2-sulfamoylethyl)-(2S)-1,2,3,4-tetrahydroquinolin-2-amine",C[C@H](CS(N)(=O)=O)N[C@H]1NC2=CC=CC=C2CC1,""
C[C@H]1CN(C(=O)[C@@H]2NC[C@@H]3CCC[C@@H]32)[C@H]1C(=O)O,"4-(N-[5-(difluoromethyl)-1,3,4-thiadiazol-2-yl]carbamoyl)-1-(N,N-dimethylsulfamoyl)piperidine",FC(C1=NN=C(S1)NC(=O)C1CCN(CC1)S(N(C)C)(=O)=O)F,""
C[C@@H](O)[C@H](CO)NC[C@H]1C[C@@H](NC(=O)OC(C)(C)C)C1,"(3R)-1,3-diethyl-4-[3-(methylthio)propyl]piperazin-2-one",C(C)N1C([C@H](N(CC1)CCCSC)CC)=O,""
CC(C)c1noc(Cc2ccc(NC(=O)c3ccc(CN4CCCCC4)o3)cc2)n1,"N-[(4S,5R)-5-cyclopropyl-4-hydroxypyrrolidin-1-yl]-(2R,6S)-2-methylpiperidine-6-carboxamide",C1(CC1)[C@@H]1[C@H](CCN1NC(=O)[C@@H]1CCC[C@H](N1)C)O,""
CC1(C)CO[C@@H](Cn2cc(C#N)cn2)CN1,"6-(propylimino)-4-{[(1R)-1-((2R)-piperidin-2-yl)ethyl]amino}-1H-1,2,4-triazine",C(CC)N=C1CN(C=NN1)N[C@H](C)[C@@H]1NCCCC1,""
CC1(C)CCN[C@@H](C(=O)NCc2cnccn2)C1,"(2R)-1-[methyl(3-fluoro-2,2-dimethylpropyl)amino]-3-(1H-1,2,3-triazol-1-yl)propan-2-ol",CN(C[C@H](CN1N=NC=C1)O)CC(CF)(C)C,""
CC[C@H](N)[C@H](c1ccncc1)N1C[C@@H]2[C@H](C(N)=O)[C@@H]2C1,(S)-(1-methylpiperidin-2-yl)methyl (3R)-3-amino-4-methoxy-3-methylpentanoate,N[C@](CC(=O)OC[C@H]1N(CCCC1)C)(C(C)OC)C,""
Nc1c(C(=O)O)cccc1N1CCn2cnnc2C1,"(S)-1,2,3,4-tetrahydroquinolin-2-yl 4-[3-(trifluoromethyl)phenyl]-1,3-thiazole-2-carboxylate",FC(C=1C=C(C=CC1)C=1N=C(SC1)C(=O)O[C@@H]1NC2=CC=CC=C2CC1)(F)F,""
Cc1cccc(CSCc2nc(Cc3coc(-c4cccs4)n3)no2)c1,"3-[(1S,2R)-1-amino-2-hydroxy-2-(1-methyl-1H-1,2,4-triazol-5-yl)ethyl]-4-methylfuro[3,2-c]quinoline",N[C@H]([C@H](C1=NC=NN1C)O)C1=COC2=C1C(=NC=1C=CC=CC21)C,""
