ZINC SMILES,Generated IUPAC,OPSIN SMILES,OPSIN Errors
C[C@@H]1COC[C@@H](C(=O)O)N1C[C@H]1C[C@H](F)C1,(2R)-1-[N-(2-fluoro-2-methylpropyl)-N-methylamino]-3-(1H-pyrrol-1-yl)propan-2-ol,FC(CN(C)C[C@H](CN1C=CC=C1)O)(C)C,""
C[C@@H](N)[C@@H]1C[C@H]1C(=O)N1CCC[C@@H](C)[C@H]1CCO,((2R)-1-methylpyrrolidin-2-yl)methyl (3S)-3-amino-4-methoxy-3-methylbutanoate,N[C@@](CC(=O)OC[C@@H]1N(CCC1)C)(COC)C,""
N[C@@H]1CCCC[C@H]1C(=O)N1CC[C@]12C[C@@H](CO)C2,"(9R)-6,7,8,9-tetrahydro-5H-pyrido[2,3-b]azepin-9-yl 2-(3-(trifluoromethyl)phenyl)thiazole-4-carboxylate","","Could not find atom that: <stereoChemistry locant=""9"" type=""RorS"" value=""R"" stereoGroup=""Abs"">9R</stereoChemistry> appeared to be referring to "
CO[C@@H]1CCN(CC[C@](C)(NC2CC2)C(N)=O)[C@@H](C)C1,"(1R,2S)-2-amino-2-(5-methylfuro[3,2-b]pyridin-7-yl)-1-(1-methyl-1H-1,2,4-triazol-5-yl)ethanol",N[C@H]([C@@H](O)C1=NC=NN1C)C1=C2C(=NC(=C1)C)C=CO2,""
CN1CCC[C@H](CO[C@]23CNCC[C@H]2C3)C1=O,"2-((3S)-1-((1R,3S,4S)-2-(tert-butoxycarbonyl)-2-azabicyclo[2.2.1]heptane-3-carbonyl)-3-hydroxyazetidin-3-yl)-2,2-difluoroacetic acid","","Could not find atom that: <stereoChemistry locant=""3"" type=""RorS"" value=""S"" stereoGroup=""Abs"">3S</stereoChemistry> appeared to be referring to "
CCc1cc(N(CC)C(C)C)n2ncnc2n1,N-[(2R)-3-([(1R)-1-methoxyethyl]amino)propan-2-yl]-(2S)-2-methoxypropanamide,CO[C@H](C)NC[C@@H](C)NC([C@H](C)OC)=O,""
C[C@H]1CN(C(=O)[C@@H]2NC[C@@H]3CCC[C@@H]32)[C@H]1C(=O)O,"(5S)-9-[(2S)-2-(diethylamino)butanoyl]-5-(hydroxymethyl)-3-[2-(pyrrolidine-1-sulfonyl)acetyl]-6-oxa-3,9-diazaspiro[4.5]decane","",Atom is in unphysical valency state! Element: C valency: 5 
C[C@@H](O)[C@H](CO)NC[C@H]1C[C@@H](NC(=O)OC(C)(C)C)C1,"(2E)-N-[(furan-2-yl)methyl]-3-oxo-2-[(2-chlorophenyl)methylidene]-2,3-dihydro-1,4-benzothiazine-6-carboxamide",O1C(=CC=C1)CNC(=O)C=1C=CC2=C(NC(\C(\S2)=C/C2=C(C=CC=C2)Cl)=O)C1,""
CC(C)c1noc(Cc2ccc(NC(=O)c3ccc(CN4CCCCC4)o3)cc2)n1,"benzyl (4S)-4-({[(2-chloro-3,5-dimethylphenyl)amino]carbonyl}amino)-4-methylpyrrolidine-1-carboxylate",ClC1=C(C=C(C=C1C)C)NC(=O)N[C@]1(CCN(C1)C(=O)OCC1=CC=CC=C1)C,""
CC1(C)CO[C@@H](Cn2cc(C#N)cn2)CN1,"6-amino-2-chloro-N-((3-hydroxy-4-oxo-1,4-dihydropyridin-2-yl)methyl)pyridine-4-carboxamide",NC1=CC(=CC(=N1)Cl)C(=O)NCC=1NC=CC(C1O)=O,""
